id,cov_age,cov_english,cov_hispanic,cov_race,cov_gender
1,21,Yes,No,White,Male
2,37,Yes,No,White,Male
3,20,Yes,No,White,Female
4,44,Yes,No,White,Male
5,24,Yes,No,Other,Female
6,31,Yes,No,White,Male
7,36,Yes,No,White,Female
8,29,Yes,No,White,Female
9,31,Yes,No,White,Male
10,31,Yes,No,White,Female
11,50,Yes,No,Other,Female
12,45,Yes,No,White,Male
13,44,Yes,Yes,White,Male
14,37,Yes,Yes,White,Female
15,49,Yes,Yes,White,Male
16,26,Yes,Yes,Other,Female
17,26,Yes,No,White,Female
18,30,Yes,No,White,Female
19,39,Yes,No,White,Male
20,37,Yes,No,White,Male
21,20,Yes,No,Other,Male
22,27,Yes,No,White,Male
23,30,Yes,No,White,Male
24,41,Yes,No,White,Female
25,46,Yes,No,White,Female
26,38,Yes,No,Other,Female
27,28,Yes,No,White,Male
28,50,Yes,No,White,Male
29,35,Yes,No,White,Male
30,44,Yes,No,White,Female
31,22,Yes,No,Do not wish to say,Male
32,33,Yes,No,White,Male
33,32,Yes,No,White,Male
34,26,Yes,No,White,Female
35,38,Yes,No,White,Male
36,60,No,No,White,Male
37,41,Yes,No,White,Male
38,34,Yes,Yes,White,Male
39,51,Yes,No,White,Female
40,33,Yes,No,Other,Female
41,51,Yes,No,White,Female
42,31,Yes,No,White,Male
43,38,Yes,No,White,Male
44,34,Yes,No,White,Male
45,54,Yes,No,White,Female
46,53,Yes,No,White,Male
47,51,Yes,No,White,Female
48,38,Yes,No,White,Female
49,38,Yes,No,White,Male
50,38,Yes,No,White,Female
51,41,Yes,No,White,Female
52,40,Yes,No,White,Male
53,35,Yes,No,White,Male
54,30,Yes,No,White,Female
55,31,Yes,No,White,Male
56,22,Yes,No,White,Female
57,31,Yes,No,White,Male
58,24,Yes,No,Asian,Male
59,23,Yes,No,White,Male
60,22,Yes,Yes,White,Non-binary / non-conforming / genderqueer
61,29,Yes,No,White,Male
62,39,Yes,No,White,Male
63,32,Yes,No,White,Female
64,46,No,Yes,Other,Female
65,32,Yes,No,White,Male
66,39,Yes,No,White,Female
67,24,Yes,No,White,Male
68,28,Yes,No,White,Female
69,40,Yes,No,Other,Female
70,23,Yes,Yes,Asian,Male
71,26,Yes,No,Asian,Male
72,37,Yes,No,White,Female
73,41,Yes,No,White,Male
74,32,Yes,No,White,Male
75,26,Yes,No,White,Female
76,45,Yes,No,Other,Female
77,33,Yes,No,White,Female
78,30,Yes,No,White,Male
79,23,No,No,Other,Male
80,32,Yes,No,White,Male
81,33,Yes,No,Other,Female
82,35,Yes,No,White,Female
83,39,Yes,No,American Indian or Alaskan Native,Female
84,52,Yes,No,White,Female
85,30,Yes,No,Asian,Male
86,25,Yes,No,White,Male
87,27,Yes,No,White,Male
88,50,No,No,White,Female
89,35,Yes,No,Other,Male
90,48,Yes,No,White,Female
91,36,Yes,No,Asian,Female
92,32,Yes,No,White,Female
93,20,No,No,Asian,Female
94,63,Yes,No,White,Female
95,51,Yes,No,Other,Female
96,35,No,No,Other,Female
97,37,Yes,No,White,Female
98,30,Yes,No,White,Female
99,42,Yes,Yes,White,Male
100,32,Yes,No,White,Female
101,25,Yes,No,White,Female
102,48,Yes,No,White,Male
103,21,Yes,Yes,Other,Female
104,41,Yes,No,White,Male
105,26,Yes,No,Other,Female
106,35,Yes,No,White,Female
107,50,Yes,No,White,Female
108,25,Yes,No,White,Non-binary / non-conforming / genderqueer
109,39,Yes,No,White,Female
110,30,Yes,No,White,Male
111,47,Yes,Yes,American Indian or Alaskan Native,Female
112,20,Yes,No,White,Male
113,61,Yes,No,White,Female
114,39,Yes,No,Other,Female
115,33,Yes,No,American Indian or Alaskan Native,Female
116,20,Yes,No,Asian,Male
117,29,Yes,No,White,Female
118,32,Yes,No,White,Male
119,35,Yes,No,White,Female
120,44,Yes,No,Other,Female
121,44,Yes,No,White,Female
122,42,No,No,White,Female
123,50,Yes,No,White,Male
124,35,Yes,No,White,Female
125,20,Yes,No,Other,Female
126,39,Yes,No,White,Male
127,23,Yes,Yes,White,Female
128,30,Yes,No,Asian,Male
129,26,Yes,Yes,Other,Female
130,35,Yes,No,White,Female
131,25,Yes,No,White,Female
132,47,Yes,No,White,Female
133,21,Yes,No,White,Male
134,32,Yes,No,White,Male
135,31,Yes,No,White,Female
136,22,Yes,No,White,Female
137,40,Yes,No,White,Female
138,34,Yes,No,White,Female
139,31,Yes,No,White,Male
140,56,Yes,Yes,White,Male
141,30,Yes,Yes,White,Male
142,29,Yes,No,White,Female
143,63,Yes,No,White,Female
144,37,Yes,No,White,Male
145,43,Yes,Do not wish to say,Do not wish to say,Do not wish to say
146,35,Yes,No,White,Female
147,28,Yes,No,White,Male
148,21,No,No,White,Female
149,53,Yes,No,White,Male
150,42,Yes,No,Asian,Male
151,34,Yes,No,White,Female
152,21,Yes,No,Asian,Female
153,27,Yes,No,White,Female
154,32,Yes,No,White,Female
155,29,Yes,No,White,Female
156,51,Yes,No,White,Female
157,35,Yes,Yes,Other,Male
158,23,Yes,No,White,Female
159,33,Yes,No,White,Female
160,32,Yes,No,White,Female
161,24,Yes,No,White,Female
162,61,Yes,No,White,Female
163,29,Yes,No,White,Female
164,24,Yes,No,White,Female
165,41,Yes,No,Other,Female
166,40,Yes,No,White,Male
167,41,Yes,No,White,Female
168,40,Yes,No,White,Male
169,27,Yes,Yes,American Indian or Alaskan Native,Male
170,37,Yes,No,White,Female
171,37,Yes,No,White,Male
172,31,Yes,Yes,American Indian or Alaskan Native,Male
173,26,Yes,No,White,Male
174,31,Yes,Yes,White,Male
175,45,Yes,No,White,Male
176,34,Yes,No,White,Female
177,27,Yes,No,White,Female
178,51,Yes,No,White,Female
179,35,Yes,No,American Indian or Alaskan Native,Male
180,41,Yes,No,White,Male
181,45,Yes,Do not wish to say,Do not wish to say,Male
182,30,Yes,No,White,Male
183,23,Yes,No,Asian,Male
184,40,Yes,Yes,White,Male
185,70,Yes,No,White,Female
186,30,Yes,No,White,Male
187,41,Yes,Yes,White,Male
188,35,Yes,No,White,Female
189,38,Yes,No,American Indian or Alaskan Native,Female
190,31,Yes,No,White,Male
191,27,Yes,No,White,Female
192,52,Yes,No,White,Female
193,30,Yes,Yes,White,Female
194,43,No,No,Asian,Male
195,33,Yes,No,Other,Female
196,25,Yes,No,White,Female
197,33,Yes,No,White,Female
198,46,Yes,No,White,Female
199,27,Yes,No,White,Female
200,34,Yes,No,White,Female
201,25,Yes,No,Asian,Female
202,43,Yes,Yes,American Indian or Alaskan Native,Male
203,27,Yes,No,White,Female
204,37,Yes,No,Other,Male
205,37,Yes,No,White,Female
206,28,Yes,No,White,Male
207,33,Yes,No,White,Male
208,26,Yes,No,White,Male
