characteristic,item_content,empirical
agreeableness,I am always willing to lend a helping hand to those in need.,5
agreeableness,"I believe in treating everyone with kindness and respect, regardless of their differences.",5
agreeableness,I am empathetic and understanding towards the feelings of others.,5
agreeableness,I find it easy to compromise and see multiple perspectives in a situation.,5
agreeableness,I prioritize understanding others perspectives before sharing my own.,5
conscientiousness,I plan my day in advance and stick to my schedule.,3
conscientiousness,I am meticulous about keeping my belongings in order.,3
conscientiousness,I strive to meet deadlines and commitments promptly and reliably.,3
conscientiousness,I prefer having a structured plan to guide my actions.,3
conscientiousness,I take great satisfaction in completing tasks meticulously.,3
extraversion,I easily make new friends and enjoy being the center of attention.,4
extraversion,I prefer social gatherings to quiet evenings at home.,4
extraversion,I feel energized and enthusiastic in social settings.,4
extraversion,I am comfortable expressing my opinions and taking charge in group discussions.,4
extraversion,I am often the first to strike up a conversation with new people.,4
extraversion,Large parties energize me and I thrive in social environments.,4
extraversion,I find excitement and motivation in interacting with large groups of people.,4
extraversion,I readily engage in conversation and enjoy meeting new people.,4
neuroticism,I experience strong emotional reactions to stressful situations.,2
neuroticism,I am easily overwhelmed by unexpected changes or challenges.,2
neuroticism,I frequently find myself worrying about potential problems.,2
neuroticism,I have a hard time relaxing and often feel on edge.,2
neuroticism,I often find myself ruminating on past negative experiences.,2
openness,I enjoy exploring new ideas and perspectives.,1
openness,I often find myself daydreaming and thinking about abstract concepts.,2
openness,I am fascinated by unconventional theories and ideas.,1
openness,I love trying new foods and exploring unfamiliar places.,1
openness,I am drawn to artistic expressions that challenge conventional norms.,1
